id,category,title,description,image,price,quality,startDate,endDate,experienceType,durationHours
e26,experience,Primavera Sound Festival,"Primavera Sound Festival in Barcelona, Spain. 8h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=904",154,2,2026-07-04T00:00:00+02:00,2026-07-04T00:00:00+02:00,Festival,8
e27,experience,Sonar Festival day pass,"Sonar Festival day pass in Barcelona, Spain. 10h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=51",53,3,2026-07-21T00:00:00+02:00,2026-07-21T00:00:00+02:00,Festival,10
e28,experience,Cruilla Festival,"Cruilla Festival in Barcelona, Spain. 9h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=81",51,1,2026-07-27T00:00:00+02:00,2026-07-27T00:00:00+02:00,Festival,9
e29,experience,Festa Major de Gracia,"Festa Major de Gracia in Barcelona, Spain. 6h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=566",57,3,2026-07-02T00:00:00+02:00,2026-07-02T00:00:00+02:00,Festival,6
e30,experience,Barcelona Beer Festival,"Barcelona Beer Festival in Barcelona, Spain. 5h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=321",160,3,2026-07-20T00:00:00+02:00,2026-07-20T00:00:00+02:00,Festival,5
e31,experience,Piknic Electronik,"Piknic Electronik in Barcelona, Spain. 7h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=889",46,4,2026-07-15T00:00:00+02:00,2026-07-15T00:00:00+02:00,Festival,7
e32,experience,FC Barcelona vs Real Madrid,"FC Barcelona vs Real Madrid in Barcelona, Spain. 3h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=970",92,4,2026-07-23T00:00:00+02:00,2026-07-23T00:00:00+02:00,Sport Match,3
e33,experience,FC Barcelona vs Atletico Madrid,"FC Barcelona vs Atletico Madrid in Barcelona, Spain. 3h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=439",84,5,2026-07-31T00:00:00+02:00,2026-07-31T00:00:00+02:00,Sport Match,3
e34,experience,RCD Espanyol home match,"RCD Espanyol home match in Barcelona, Spain. 3h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=235",141,4,2026-07-18T00:00:00+02:00,2026-07-18T00:00:00+02:00,Sport Match,3
e35,experience,Barcelona Open tennis,"Barcelona Open tennis in Barcelona, Spain. 4h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=138",168,1,2026-07-03T00:00:00+02:00,2026-07-03T00:00:00+02:00,Sport Match,4
e36,experience,FC Barcelona basketball at Palau Blaugrana,"FC Barcelona basketball at Palau Blaugrana in Barcelona, Spain. 2h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=622",125,3,2026-07-29T00:00:00+02:00,2026-07-29T00:00:00+02:00,Sport Match,2
e37,experience,Catalunya MotoGP at Montmelo,"Catalunya MotoGP at Montmelo in Barcelona, Spain. 5h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=926",79,1,2026-07-20T00:00:00+02:00,2026-07-20T00:00:00+02:00,Sport Match,5
e38,experience,Rosalia at Palau Sant Jordi,"Rosalia at Palau Sant Jordi in Barcelona, Spain. 3h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=909",73,5,2026-07-03T00:00:00+02:00,2026-07-03T00:00:00+02:00,Concert,3
e39,experience,Coldplay live at Estadi Olimpic,"Coldplay live at Estadi Olimpic in Barcelona, Spain. 4h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=225",20,3,2026-07-19T00:00:00+02:00,2026-07-19T00:00:00+02:00,Concert,4
e40,experience,Bad Bunny at Palau Sant Jordi,"Bad Bunny at Palau Sant Jordi in Barcelona, Spain. 3h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=729",25,2,2026-07-19T00:00:00+02:00,2026-07-19T00:00:00+02:00,Concert,3
e41,experience,Manu Chao at Razzmatazz,"Manu Chao at Razzmatazz in Barcelona, Spain. 3h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=667",147,4,2026-07-16T00:00:00+02:00,2026-07-16T00:00:00+02:00,Concert,3
e42,experience,Jazz night at Jamboree,"Jazz night at Jamboree in Barcelona, Spain. 2h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=731",86,2,2026-07-30T00:00:00+02:00,2026-07-30T00:00:00+02:00,Concert,2
e43,experience,Flamenco fusion at Sala Apolo,"Flamenco fusion at Sala Apolo in Barcelona, Spain. 2h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=300",126,4,2026-07-19T00:00:00+02:00,2026-07-19T00:00:00+02:00,Concert,2
e44,experience,Indie night at Sidecar,"Indie night at Sidecar in Barcelona, Spain. 3h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=487",135,3,2026-07-03T00:00:00+02:00,2026-07-03T00:00:00+02:00,Concert,3
e45,experience,Primavera Sound Festival,"Primavera Sound Festival in Barcelona, Spain. 8h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=767",100,3,2026-07-14T00:00:00+02:00,2026-07-14T00:00:00+02:00,Festival,8
e46,experience,Sonar Festival day pass,"Sonar Festival day pass in Barcelona, Spain. 10h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=755",41,2,2026-07-22T00:00:00+02:00,2026-07-22T00:00:00+02:00,Festival,10
e47,experience,Cruilla Festival,"Cruilla Festival in Barcelona, Spain. 9h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=50",120,4,2026-07-11T00:00:00+02:00,2026-07-11T00:00:00+02:00,Festival,9
e48,experience,Festa Major de Gracia,"Festa Major de Gracia in Barcelona, Spain. 6h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=323",184,4,2026-07-10T00:00:00+02:00,2026-07-10T00:00:00+02:00,Festival,6
e49,experience,Barcelona Beer Festival,"Barcelona Beer Festival in Barcelona, Spain. 5h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=683",155,1,2026-07-27T00:00:00+02:00,2026-07-27T00:00:00+02:00,Festival,5
e50,experience,Piknic Electronik,"Piknic Electronik in Barcelona, Spain. 7h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=136",37,3,2026-07-15T00:00:00+02:00,2026-07-15T00:00:00+02:00,Festival,7
e51,experience,FC Barcelona vs Real Madrid,"FC Barcelona vs Real Madrid in Barcelona, Spain. 3h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=730",97,1,2026-07-09T00:00:00+02:00,2026-07-09T00:00:00+02:00,Sport Match,3
e52,experience,FC Barcelona vs Atletico Madrid,"FC Barcelona vs Atletico Madrid in Barcelona, Spain. 3h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=852",118,5,2026-07-25T00:00:00+02:00,2026-07-25T00:00:00+02:00,Sport Match,3
e53,experience,RCD Espanyol home match,"RCD Espanyol home match in Barcelona, Spain. 3h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=989",15,5,2026-07-27T00:00:00+02:00,2026-07-27T00:00:00+02:00,Sport Match,3
e54,experience,Barcelona Open tennis,"Barcelona Open tennis in Barcelona, Spain. 4h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=818",120,1,2026-07-15T00:00:00+02:00,2026-07-15T00:00:00+02:00,Sport Match,4
