id,category,title,description,image,price,quality,startDate,endDate,type,rooms
s16,stay,Old Town Casa Gotic,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=688",186,2,2026-07-10T00:00:00+02:00,2026-07-15T00:00:00+02:00,Hotel,3
s17,stay,Plaza Suites Eixample,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=635",158,4,2026-07-20T00:00:00+02:00,2026-07-22T00:00:00+02:00,Hotel,2
s18,stay,Harborview Hostel Barceloneta,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=431",317,4,2026-07-03T00:00:00+02:00,2026-07-08T00:00:00+02:00,Hotel,4
s19,stay,Garden Boutique Poble Sec,"Hostel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hostel%20Barcelona,%20Spain&sig=570",339,1,2026-07-15T00:00:00+02:00,2026-07-20T00:00:00+02:00,Hostel,4
s20,stay,The Cloud Hotel Diagonal,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=899",254,5,2026-07-12T00:00:00+02:00,2026-07-16T00:00:00+02:00,Airbnb,2
s21,stay,Casa Marina Port Vell,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=928",239,3,2026-07-10T00:00:00+02:00,2026-07-15T00:00:00+02:00,Airbnb,4
s22,stay,Mosaic Inn El Born,"Hostel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hostel%20Barcelona,%20Spain&sig=271",313,1,2026-07-17T00:00:00+02:00,2026-07-20T00:00:00+02:00,Hostel,4
s23,stay,Riverside Apt Poblenou,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=377",259,2,2026-07-25T00:00:00+02:00,2026-07-27T00:00:00+02:00,Hotel,4
s24,stay,Skyline Tower Sants,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=544",272,3,2026-07-10T00:00:00+02:00,2026-07-15T00:00:00+02:00,Hotel,3
s25,stay,Ramblas Rooms,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=138",255,3,2026-07-13T00:00:00+02:00,2026-07-17T00:00:00+02:00,Airbnb,1
s26,stay,Tibidabo View Lodge,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=217",219,2,2026-07-28T00:00:00+02:00,2026-07-31T00:00:00+02:00,Hotel,1
s27,stay,Montjuic Garden Stay,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=466",166,2,2026-07-21T00:00:00+02:00,2026-07-23T00:00:00+02:00,Airbnb,1
s28,stay,Sagrada Suites,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=956",98,5,2026-07-08T00:00:00+02:00,2026-07-11T00:00:00+02:00,Airbnb,2
s29,stay,Barri Gotic Boutique,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=896",350,5,2026-07-10T00:00:00+02:00,2026-07-20T00:00:00+02:00,Hotel,1
s30,stay,Sunset Loft Gracia,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=113",53,3,2026-07-06T00:00:00+02:00,2026-07-10T00:00:00+02:00,Hotel,4
s31,stay,Old Town Casa Gotic,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=68",393,2,2026-07-28T00:00:00+02:00,2026-07-31T00:00:00+02:00,Hotel,1
s32,stay,Plaza Suites Eixample,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=916",101,5,2026-07-10T00:00:00+02:00,2026-07-20T00:00:00+02:00,Airbnb,1
s33,stay,Harborview Hostel Barceloneta,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=813",299,3,2026-07-15T00:00:00+02:00,2026-07-22T00:00:00+02:00,Hotel,1
s34,stay,Garden Boutique Poble Sec,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=482",225,4,2026-07-27T00:00:00+02:00,2026-07-31T00:00:00+02:00,Hotel,2
s35,stay,The Cloud Hotel Diagonal,"Hostel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hostel%20Barcelona,%20Spain&sig=733",178,5,2026-07-28T00:00:00+02:00,2026-07-31T00:00:00+02:00,Hostel,4
s36,stay,Casa Marina Port Vell,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=136",165,1,2026-07-28T00:00:00+02:00,2026-07-31T00:00:00+02:00,Hotel,3
s37,stay,Mosaic Inn El Born,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=363",352,4,2026-07-08T00:00:00+02:00,2026-07-18T00:00:00+02:00,Airbnb,3
s38,stay,Riverside Apt Poblenou,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=229",221,3,2026-07-12T00:00:00+02:00,2026-07-15T00:00:00+02:00,Airbnb,3
s39,stay,Skyline Tower Sants,"Hostel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hostel%20Barcelona,%20Spain&sig=109",324,1,2026-07-22T00:00:00+02:00,2026-07-29T00:00:00+02:00,Hostel,2
s40,stay,Ramblas Rooms,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=433",428,2,2026-07-28T00:00:00+02:00,2026-07-31T00:00:00+02:00,Airbnb,4
s41,stay,Tibidabo View Lodge,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=675",87,3,2026-07-17T00:00:00+02:00,2026-07-22T00:00:00+02:00,Airbnb,2
s42,stay,Montjuic Garden Stay,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=499",228,4,2026-07-08T00:00:00+02:00,2026-07-12T00:00:00+02:00,Airbnb,3
s43,stay,Sagrada Suites,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=908",399,4,2026-07-28T00:00:00+02:00,2026-07-31T00:00:00+02:00,Hotel,3
s44,stay,Barri Gotic Boutique,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=147",201,1,2026-07-08T00:00:00+02:00,2026-07-10T00:00:00+02:00,Airbnb,2
s45,stay,Sunset Loft Gracia,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=254",341,5,2026-07-28T00:00:00+02:00,2026-07-31T00:00:00+02:00,Hotel,3
s46,stay,Old Town Casa Gotic,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=366",224,2,2026-07-27T00:00:00+02:00,2026-07-30T00:00:00+02:00,Hotel,3
s47,stay,Plaza Suites Eixample,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=981",67,5,2026-07-20T00:00:00+02:00,2026-07-23T00:00:00+02:00,Hotel,3
s48,stay,Harborview Hostel Barceloneta,"Hostel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hostel%20Barcelona,%20Spain&sig=288",291,1,2026-07-05T00:00:00+02:00,2026-07-12T00:00:00+02:00,Hostel,1
s49,stay,Garden Boutique Poble Sec,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=117",134,1,2026-07-17T00:00:00+02:00,2026-07-22T00:00:00+02:00,Hotel,3
